1981-07-01, 18:43, 29768.78, 1981.498,  3,  0, 338.35
1981-07-16, 15:04, 29783.63, 1981.539,  2,  0, 338.25
1981-08-02, 15:46, 29800.66, 1981.585,  3,  0, 338.64
1981-08-16, 06:53, 29814.29, 1981.623,  3,  0, 338.73
1981-09-02, 19:38, 29831.82, 1981.671,  3,  0, 338.78
1981-09-15, 14:40, 29844.61, 1981.706,  3,  0, 338.75
1981-10-01, 12:53, 29860.54, 1981.749,  3,  0, 339.17
1981-10-16, 15:42, 29875.65, 1981.791,  2,  0, 339.09
1981-11-03, 15:46, 29893.66, 1981.840,  3,  0, 338.82
1981-11-08, 14:54, 29898.62, 1981.854,  1,  4, 338.86
1981-11-15, 15:36, 29905.65, 1981.873,  3,  4, 352.74
1981-11-29, 15:09, 29919.63, 1981.911,  2,  0, 338.90
1981-12-13, 14:53, 29933.62, 1981.950,  3,  0, 338.92
1981-12-27, 15:20, 29947.64, 1981.988,  3,  0, 338.84
1982-01-15, 15:21, 29966.64, 1982.040,  3,  4, 346.33
1982-02-05, 16:28, 29987.69, 1982.098,  2,  0, 338.49
1982-02-15, 16:12, 29997.68, 1982.125,  3,  0, 338.79
1982-03-02, 16:00, 30012.67, 1982.166,  3,  0, 338.37
1982-03-15, 14:39, 30025.61, 1982.202,  2,  0, 338.40
1982-04-01, 14:16, 30042.59, 1982.248,  3,  0, 338.52
1982-04-15, 10:53, 30056.45, 1982.286,  3,  0, 338.80
1982-05-01, 15:01, 30072.63, 1982.330,  3,  0, 338.91
1982-05-15, 15:16, 30086.64, 1982.369,  2,  0, 338.96
1982-06-01, 14:35, 30103.61, 1982.415,  2,  0, 339.20
1982-06-15, 11:01, 30117.46, 1982.453,  3,  0, 339.09
1982-07-01, 13:22, 30133.56, 1982.497,  3,  0, 339.15
1982-07-15, 11:46, 30147.49, 1982.536,  3,  0, 339.33
1982-08-01, 11:47, 30164.49, 1982.582,  3,  0, 340.17
1982-08-15, 11:20, 30178.47, 1982.620,  3,  0, 339.88
1982-09-01, 14:08, 30195.59, 1982.667,  3,  0, 340.21
1982-09-15, 11:20, 30209.47, 1982.705,  3,  0, 340.29
1982-10-01, 11:30, 30225.48, 1982.749,  3,  0, 340.38
1982-10-16, 11:23, 30240.47, 1982.790,  3,  4, 342.68
1982-10-31, 11:55, 30255.50, 1982.831,  3,  0, 340.25
1982-11-07, 16:05, 30262.67, 1982.851,  2,  0, 340.23
1982-11-15, 16:08, 30270.67, 1982.873,  3,  0, 339.91
1982-12-01, 15:49, 30286.66, 1982.917,  3,  0, 339.99
1982-12-15, 15:36, 30300.65, 1982.955,  3,  0, 339.96
1983-01-02, 11:39, 30318.49, 1983.004,  3,  0, 339.87
1983-01-15, 14:41, 30331.61, 1983.040,  3,  0, 339.90
1983-02-01, 15:02, 30348.63, 1983.087,  2,  0, 339.85
1983-02-05, 16:24, 30352.68, 1983.098,  2,  4, 351.61
1983-02-15, 16:24, 30362.68, 1983.125,  3,  0, 339.85
1983-03-01, 16:56, 30376.71, 1983.164,  3,  0, 339.81
1983-03-15, 14:11, 30390.59, 1983.202,  3,  4, 350.45
1983-04-01, 16:38, 30407.69, 1983.248,  3,  4, 346.64
1983-04-15, 17:41, 30421.74, 1983.287,  2,  0, 340.31
1983-05-01, 16:30, 30437.69, 1983.331,  3,  0, 340.48
1983-05-15, 14:31, 30451.61, 1983.369,  3,  0, 340.62
1983-06-01, 17:38, 30468.73, 1983.416,  2,  0, 340.91
1983-06-15, 15:13, 30482.63, 1983.454,  3,  0, 340.94
1983-07-01, 16:52, 30498.70, 1983.498,  3,  0, 341.25
1983-07-15, 17:24, 30512.72, 1983.536,  3,  0, 341.34
1983-08-01, 17:28, 30529.73, 1983.583,  3,  0, 341.56
1983-08-15, 14:21, 30543.60, 1983.621,  3,  0, 341.98
1983-09-01, 16:01, 30560.67, 1983.668,  3,  0, 342.14
1983-09-15, 16:02, 30574.67, 1983.706,  3,  0, 342.38
1983-10-01, 14:58, 30590.62, 1983.750,  3,  0, 342.23
1983-10-15, 16:12, 30604.68, 1983.788,  2,  0, 342.30
1983-11-01, 18:02, 30621.75, 1983.835,  3,  4, 343.13
1983-11-15, 11:18, 30635.47, 1983.873,  2,  0, 342.54
1983-12-01, 11:36, 30651.48, 1983.916,  2,  0, 342.35
1983-12-15, 10:42, 30665.45, 1983.955,  2,  0, 342.40
1984-01-04, 13:17, 30685.55, 1984.010,  3,  0, 342.19
1984-01-15, 13:02, 30696.54, 1984.040,  3,  0, 341.89
1984-01-23, 09:30, 30704.40, 1984.061,  2,  0, 342.10
1984-02-04, 11:12, 30716.47, 1984.094,  3,  4, 350.74
1984-02-15, 13:27, 30727.56, 1984.124,  3,  4, 348.67
1984-03-03, 10:37, 30744.44, 1984.171,  1,  4, 341.72
1984-03-15, 13:44, 30756.57, 1984.204,  2,  0, 341.72
1984-04-02, 10:42, 30774.45, 1984.253,  3,  0, 341.75
1984-04-17, 13:43, 30789.57, 1984.294,  3,  0, 341.87
1984-05-02, 13:21, 30804.56, 1984.335,  3,  0, 341.68
1984-05-17, 14:18, 30819.60, 1984.376,  3,  0, 341.98
1984-06-02, 13:47, 30835.57, 1984.420,  2,  0, 341.91
1984-06-16, 16:28, 30849.69, 1984.458,  2,  4, 342.66
1984-07-05, 11:48, 30868.49, 1984.510,  3,  0, 342.67
1984-07-18, 13:58, 30881.58, 1984.545,  2,  4, 343.42
1984-08-02, 15:53, 30896.66, 1984.587,  3,  0, 343.02
1984-08-16, 13:23, 30910.56, 1984.624,  2,  0, 343.23
1984-09-03, 14:37, 30928.61, 1984.674,  3,  0, 343.32
1984-09-17, 13:47, 30942.57, 1984.712,  3,  0, 343.52
1984-10-02, 12:53, 30957.54, 1984.753,  3,  0, 343.47
1984-10-16, 12:58, 30971.54, 1984.791,  3,  0, 343.52
1984-11-02, 16:17, 30988.68, 1984.838,  2,  0, 343.46
1984-11-15, 10:33, 31001.44, 1984.873,  3,  0, 343.25
1984-12-01, 15:16, 31017.64, 1984.917,  3,  0, 343.23
1984-12-15, 10:25, 31031.43, 1984.955,  3,  0, 343.14
1985-01-01, 18:34, 31048.77, 1985.002,  3,  0, 342.98
1985-01-15, 16:27, 31062.69, 1985.040,  3,  0, 343.07
1985-01-24, 11:00, 31071.46, 1985.064,  2,  0, 343.02
1985-02-01, 09:03, 31079.38, 1985.086,  8,  0, 342.88
1985-02-15, 15:22, 31093.64, 1985.125,  3,  0, 342.86
1985-03-01, 14:20, 31107.60, 1985.163,  3,  0, 342.66
1985-03-15, 16:41, 31121.70, 1985.202,  3,  0, 342.79
1985-04-01, 14:22, 31138.60, 1985.248,  3,  0, 342.69
1985-04-15, 14:04, 31152.59, 1985.287,  3,  0, 342.74
1985-05-01, 11:54, 31168.50, 1985.330,  3,  0, 342.99
1985-05-15, 17:02, 31182.71, 1985.369,  3,  0, 343.13
1985-06-01, 10:14, 31199.43, 1985.415,  3,  0, 343.31
1985-06-16, 11:17, 31214.47, 1985.456,  2,  0, 343.45
1985-07-01, 17:08, 31229.71, 1985.498,  3,  0, 343.64
1985-07-15, 12:05, 31243.50, 1985.536,  3,  0, 344.00
1985-08-01, 16:56, 31260.71, 1985.583,  3,  0, 344.29
1985-08-15, 17:48, 31274.74, 1985.621,  3,  0, 344.54
1985-09-01, 09:58, 31291.42, 1985.667,  3,  0, 344.77
1985-09-15, 11:36, 31305.48, 1985.705,  3,  0, 344.83
1985-10-01, 17:18, 31321.72, 1985.750,  3,  0, 344.92
1985-10-15, 14:50, 31335.62, 1985.788,  3,  0, 344.93
1985-11-01, 11:03, 31352.46, 1985.834,  3,  0, 344.65
1985-11-18, 06:54, 31369.29, 1985.880,  3,  0, 344.94
1985-12-02, 09:34, 31383.40, 1985.919,  3,  0, 344.66
1985-12-16, 22:07, 31397.92, 1985.959,  2,  0, 344.67
1986-01-02, 08:27, 31414.35, 1986.004,  2,  0, 344.42
1986-01-16, 08:51, 31428.37, 1986.042,  2,  0, 344.88
1986-01-25, 07:52, 31437.33, 1986.067,  2,  0, 344.59
1986-01-29, 15:26, 31441.64, 1986.078,  3,  0, 344.53
1986-01-31, 02:00, 31443.08, 1986.082,  3,  0, 344.57
1986-02-18, 10:33, 31461.44, 1986.133,  3,  0, 344.56
1986-03-02, 20:19, 31473.85, 1986.167,  3,  0, 344.52
1986-03-17, 07:58, 31488.33, 1986.206,  2,  0, 344.48
1986-04-01, 09:24, 31503.39, 1986.248,  3,  0, 344.55
1986-04-15, 09:13, 31517.38, 1986.286,  3,  0, 344.61
1986-05-01, 14:33, 31533.61, 1986.330,  2,  0, 344.59
1986-05-15, 16:08, 31547.67, 1986.369,  3,  0, 344.69
1986-06-01, 12:23, 31564.52, 1986.415,  2,  0, 344.87
1986-06-15, 12:48, 31578.53, 1986.454,  3,  0, 345.04
1986-07-01, 19:05, 31594.80, 1986.498,  3,  0, 345.15
1986-07-16, 20:45, 31609.86, 1986.539,  3,  0, 345.76
1986-08-01, 17:25, 31625.73, 1986.583,  3,  0, 345.80
1986-08-15, 17:42, 31639.74, 1986.621,  3,  0, 345.88
1986-09-01, 20:36, 31656.86, 1986.668,  3,  0, 345.98
1986-09-15, 19:26, 31670.81, 1986.706,  3,  0, 346.27
1986-10-03, 00:57, 31688.04, 1986.754,  3,  0, 346.22
1986-10-15, 19:43, 31700.82, 1986.789,  3,  0, 346.08
1986-11-01, 15:37, 31717.65, 1986.835,  3,  0, 346.28
1986-11-15, 17:17, 31731.72, 1986.873,  3,  0, 346.08
1986-12-01, 16:56, 31747.71, 1986.917,  3,  0, 346.08
1986-12-15, 18:02, 31761.75, 1986.955,  3,  0, 346.05
1987-01-01, 20:38, 31778.86, 1987.002,  3,  0, 345.88
1987-01-15, 15:37, 31792.65, 1987.040, 12,  0, 345.91
1987-02-01, 21:09, 31809.88, 1987.087,  3,  0, 345.81
1987-02-15, 20:08, 31823.84, 1987.126,  3,  0, 345.82
1987-03-01, 14:48, 31837.62, 1987.163,  3,  0, 345.79
1987-03-15, 12:42, 31851.53, 1987.201,  3,  0, 345.68
1987-04-01, 12:44, 31868.53, 1987.248,  3,  0, 346.10
1987-04-15, 12:41, 31882.53, 1987.286,  3,  0, 346.00
1987-05-01, 12:49, 31898.53, 1987.330,  2,  0, 346.14
1987-05-15, 12:47, 31912.53, 1987.369,  3,  0, 346.16
1987-06-01, 12:55, 31929.54, 1987.415,  3,  0, 346.38
1987-06-15, 12:43, 31943.53, 1987.454,  3,  0, 346.67
1987-06-17, 12:55, 31945.54, 1987.459,  3,  0, 346.64
1987-07-01, 13:03, 31959.54, 1987.497,  4,  0, 347.04
1987-07-15, 13:03, 31973.54, 1987.536,  3,  0, 347.09
1987-08-01, 13:07, 31990.55, 1987.582,  3,  0, 347.41
1987-08-15, 13:02, 32004.54, 1987.621,  3,  0, 347.62
1987-09-02, 12:47, 32022.53, 1987.670,  3,  0, 347.93
1987-09-15, 12:50, 32035.53, 1987.706,  3,  0, 348.08
1987-10-02, 11:02, 32052.46, 1987.752,  3,  0, 348.05
1987-10-15, 13:48, 32065.58, 1987.788,  3,  0, 348.09
1987-11-01, 14:16, 32082.59, 1987.835,  3,  0, 348.05
1987-11-16, 07:40, 32097.32, 1987.875,  3,  0, 348.32
1987-12-01, 17:25, 32112.73, 1987.917,  3,  0, 348.34
1987-12-27, 19:18, 32138.80, 1987.989,  3,  4, 349.00
1988-01-01, 23:39, 32143.99, 1988.003,  4,  0, 348.35
1988-01-27, 13:31, 32169.56, 1988.073,  3,  0, 348.21
1988-02-10, 11:46, 32183.49, 1988.111,  3,  0, 348.13
1988-02-28, 16:35, 32201.69, 1988.160,  2,  0, 347.96
1988-03-08, 16:46, 32210.70, 1988.185,  3,  0, 347.68
1988-03-23, 15:12, 32225.63, 1988.226,  3,  0, 348.08
1988-04-01, 13:59, 32234.58, 1988.250,  3,  0, 348.16
1988-04-15, 20:33, 32248.86, 1988.289,  3,  0, 348.14
1988-05-02, 15:03, 32265.63, 1988.335,  3,  0, 348.33
1988-05-15, 23:09, 32278.96, 1988.371,  3,  0, 348.22
1988-06-01, 14:13, 32295.59, 1988.417,  3,  0, 348.39
1988-06-15, 11:48, 32309.49, 1988.455,  3,  0, 348.64
1988-07-01, 14:40, 32325.61, 1988.499,  3,  0, 348.93
1988-07-17, 14:45, 32341.61, 1988.543,  3,  0, 349.03
1988-08-03, 14:24, 32358.60, 1988.589,  3,  0, 349.36
1988-08-15, 14:59, 32370.62, 1988.622,  2,  0, 349.66
1988-09-06, 20:39, 32392.86, 1988.683,  3,  0, 349.56
1988-09-16, 20:28, 32402.85, 1988.710,  3,  0, 349.87
1988-10-02, 14:27, 32418.60, 1988.753,  3,  0, 349.82
1988-10-15, 15:01, 32431.63, 1988.789,  3,  0, 349.92
1988-11-02, 17:27, 32449.73, 1988.838,  3,  0, 349.79
1988-11-20, 12:13, 32467.51, 1988.887,  2,  0, 349.76
1988-11-29, 12:22, 32476.52, 1988.911,  7,  0, 349.88
1988-12-03, 16:33, 32480.69, 1988.923,  3,  0, 349.83
1988-12-17, 15:13, 32494.63, 1988.961,  9,  0, 349.83
1989-01-05, 10:37, 32513.44, 1989.012,  3,  0, 349.96
1989-01-21, 01:27, 32529.06, 1989.055,  3,  0, 349.68
1989-02-06, 20:05, 32545.84, 1989.101,  3,  0, 349.75
1989-02-17, 21:13, 32556.88, 1989.131,  3,  0, 349.80
1989-03-01, 15:02, 32568.63, 1989.163,  3,  0, 349.73
1989-03-17, 14:41, 32584.61, 1989.207,  3,  0, 349.58
1989-04-03, 15:00, 32601.63, 1989.254,  3,  0, 349.69
1989-04-17, 23:41, 32615.99, 1989.293,  3,  0, 349.70
1989-05-01, 21:56, 32629.91, 1989.331,  2,  0, 349.72
1989-05-25, 23:39, 32653.99, 1989.397,  2,  0, 350.11
1989-06-01, 16:01, 32660.67, 1989.416,  3,  0, 350.09
1989-06-15, 20:20, 32674.85, 1989.454,  3,  0, 350.14
1989-07-03, 06:10, 32692.26, 1989.502,  3,  0, 350.45
1989-07-17, 16:28, 32706.69, 1989.542,  3,  0, 350.60
1989-08-03, 03:38, 32723.15, 1989.587,  3,  0, 350.97
1989-08-15, 10:25, 32735.43, 1989.620,  3,  0, 351.12
1989-09-01, 04:15, 32752.18, 1989.666,  3,  0, 351.19
1989-09-19, 10:56, 32770.46, 1989.716,  2,  0, 351.50
1989-10-02, 22:13, 32783.93, 1989.753,  3,  0, 351.12
1989-10-14, 13:31, 32795.56, 1989.785,  3,  0, 351.47
1989-11-05, 11:43, 32817.49, 1989.845,  3,  0, 351.36
1989-11-15, 16:35, 32827.69, 1989.873,  1,  4, 351.29
1989-11-18, 16:50, 32830.70, 1989.881,  3,  4, 355.65
1989-12-04, 09:43, 32846.40, 1989.924,  3,  0, 351.03
1989-12-16, 21:01, 32858.88, 1989.959,  3,  0, 350.99
1990-01-04, 20:50, 32877.87, 1990.011,  2,  0, 350.84
1990-02-05, 14:58, 32909.62, 1990.098,  3,  5, 350.32
1990-02-19, 15:23, 32923.64, 1990.136,  3,  0, 350.51
1990-03-03, 14:50, 32935.62, 1990.169,  3,  0, 350.67
1990-03-16, 15:02, 32948.63, 1990.204,  3,  0, 350.59
1990-04-07, 16:45, 32970.70, 1990.265,  2,  0, 350.81
1990-04-16, 17:47, 32979.74, 1990.290,  3,  0, 350.92
1990-05-03, 10:26, 32996.43, 1990.335,  3,  0, 351.26
1990-05-24, 15:20, 33017.64, 1990.394,  2,  0, 351.44
1990-06-04, 23:30, 33028.98, 1990.425,  3,  0, 351.44
1990-06-19, 15:15, 33043.64, 1990.465,  3,  0, 351.66
1990-07-02, 16:42, 33056.70, 1990.501,  3,  0, 351.81
1990-07-18, 06:26, 33072.27, 1990.543,  2,  0, 352.17
1990-08-12, 14:06, 33097.59, 1990.613,  2,  0, 352.35
1990-08-16, 17:55, 33101.75, 1990.624,  3,  0, 352.67
1990-09-04, 22:31, 33120.94, 1990.677,  3,  0, 352.72
1990-09-20, 15:27, 33136.64, 1990.720,  3,  0, 352.72
1990-10-05, 14:40, 33151.61, 1990.761,  3,  0, 352.51
1990-10-18, 15:43, 33164.65, 1990.796,  3,  0, 352.61
1990-11-06, 15:21, 33183.64, 1990.848,  3,  0, 352.96
1990-11-15, 16:36, 33192.69, 1990.873,  3,  0, 352.72
1990-12-01, 17:38, 33208.73, 1990.917,  3,  0, 352.75
1990-12-15, 16:04, 33222.67, 1990.955,  3,  0, 352.50
1990-12-29, 16:17, 33236.68, 1990.994,  3,  0, 352.62
1991-02-01, 03:58, 33270.17, 1991.085,  2,  0, 352.33
1991-02-11, 00:00, 33280.00, 1991.112,  0,  9, NaN
1991-02-12, 10:20, 33281.43, 1991.116, 12,  0, 352.37
1991-03-01, 16:03, 33298.67, 1991.163,  2,  0, 352.30
1991-03-15, 16:10, 33312.67, 1991.202,  2,  0, 352.25
1991-04-01, 04:04, 33329.17, 1991.247,  2,  0, 352.34
1991-04-15, 15:14, 33343.63, 1991.287,  3,  0, 352.45
1991-05-01, 23:01, 33359.96, 1991.331,  2,  0, 352.46
1991-05-15, 15:04, 33373.63, 1991.369,  3,  0, 352.53
1991-06-02, 02:05, 33391.09, 1991.417,  3,  0, 352.86
1991-06-16, 03:38, 33405.15, 1991.455,  3,  0, 352.94
1991-07-01, 22:14, 33420.93, 1991.498,  3,  0, 353.21
1991-07-15, 16:03, 33434.67, 1991.536,  2,  4, 354.10
1991-08-01, 02:47, 33451.12, 1991.581,  3,  0, 353.53
1991-08-16, 11:14, 33466.47, 1991.623,  3,  0, 353.65
1991-09-02, 22:40, 33483.94, 1991.671,  2,  0, 353.81
1991-09-16, 10:45, 33497.45, 1991.708,  2,  0, 354.27
1991-10-02, 02:27, 33513.10, 1991.751,  3,  0, 353.96
1991-10-16, 11:02, 33527.46, 1991.790,  3,  0, 353.80
1991-11-02, 10:16, 33544.43, 1991.837,  3,  4, 365.95
1991-11-15, 16:36, 33557.69, 1991.873,  2,  0, 353.94
1991-12-01, 13:30, 33573.56, 1991.917,  3,  0, 353.87
1991-12-17, 08:59, 33589.37, 1991.960,  3,  0, 353.74
1992-01-01, 13:56, 33604.58, 1992.002,  2,  0, 353.67
1992-01-17, 07:59, 33620.33, 1992.045,  4,  0, 353.54
1992-02-01, 06:59, 33635.29, 1992.085,  3,  0, 353.51
1992-02-15, 23:04, 33649.96, 1992.126,  3,  5, 352.87
1992-03-01, 19:23, 33664.81, 1992.166,  3,  0, 353.18
1992-03-16, 01:04, 33679.04, 1992.205,  3,  0, 352.89
1992-04-01, 01:31, 33695.06, 1992.249,  3,  0, 352.98
1992-04-15, 12:14, 33709.51, 1992.288,  3,  0, 353.39
1992-05-02, 10:41, 33726.45, 1992.335,  3,  0, 353.57
1992-05-15, 09:45, 33739.41, 1992.370,  3,  0, 353.81
1992-06-04, 12:19, 33759.51, 1992.425,  3,  0, 353.96
1992-06-13, 12:44, 33768.53, 1992.450,  3,  0, 353.91
1992-07-01, 09:38, 33786.40, 1992.498,  3,  0, 354.41
1992-07-14, 08:44, 33799.36, 1992.534,  3,  0, 354.58
1992-08-04, 22:25, 33820.93, 1992.593,  3,  0, 354.73
1992-08-14, 02:38, 33830.11, 1992.618,  3,  0, 354.99
1992-09-01, 00:23, 33848.02, 1992.667,  3,  0, 355.19
1992-09-14, 20:18, 33861.85, 1992.704,  3,  0, 355.21
1992-10-01, 00:29, 33878.02, 1992.749,  3,  0, 355.29
1992-10-13, 20:15, 33890.84, 1992.784,  3,  0, 355.43
1992-11-01, 00:37, 33909.03, 1992.833,  3,  0, 355.15
1992-11-15, 20:42, 33923.86, 1992.874,  3,  0, 355.11
1992-12-05, 20:53, 33943.87, 1992.929,  3,  0, 355.01
1992-12-21, 03:14, 33959.13, 1992.970,  3,  0, 354.77
1993-01-03, 21:34, 33972.90, 1993.008,  3,  0, 354.82
1993-01-17, 21:42, 33986.90, 1993.046,  3,  0, 354.70
1993-02-02, 14:36, 34002.61, 1993.089,  2,  0, 354.64
1993-02-17, 14:47, 34017.62, 1993.130,  3,  0, 354.45
1993-03-01, 10:29, 34029.44, 1993.163,  3,  0, 354.27
1993-03-15, 11:33, 34043.48, 1993.201,  3,  0, 354.20
1993-04-02, 11:56, 34061.50, 1993.251,  3,  0, 354.41
1993-04-15, 18:00, 34074.75, 1993.287,  3,  0, 354.37
1993-05-02, 22:58, 34091.96, 1993.334,  3,  0, 354.34
1993-05-17, 10:39, 34106.44, 1993.374,  3,  0, 354.58
1993-06-01, 19:58, 34121.83, 1993.416,  3,  0, 354.79
1993-06-17, 12:33, 34137.52, 1993.459,  3,  0, 354.79
1993-07-02, 11:37, 34152.48, 1993.500,  3,  0, 355.06
1993-07-19, 22:39, 34169.94, 1993.548,  3,  0, 355.23
1993-08-03, 11:04, 34184.46, 1993.588,  3,  0, 355.50
1993-08-17, 11:48, 34198.49, 1993.626,  3,  0, 355.75
1993-09-02, 11:49, 34214.49, 1993.670,  3,  0, 355.98
1993-09-17, 11:43, 34229.49, 1993.711,  3,  0, 356.02
1993-10-02, 11:33, 34244.48, 1993.752,  3,  0, 356.05
1993-10-17, 19:13, 34259.80, 1993.794,  3,  0, 356.04
1993-11-01, 12:25, 34274.52, 1993.834,  6,  0, 356.12
1993-11-18, 08:29, 34291.35, 1993.880,  3,  0, 355.86
1993-12-06, 00:00, 34309.00, 1993.929,  3,  0, 355.83
1993-12-18, 19:30, 34321.81, 1993.964,  3,  0, 355.57
1994-01-04, 04:04, 34338.17, 1994.009,  3,  0, 355.51
1994-01-19, 11:34, 34353.48, 1994.051,  3,  0, 355.52
1994-02-03, 00:00, 34368.00, 1994.090,  5,  0, 355.64
1994-02-17, 21:09, 34382.88, 1994.131,  3,  0, 355.33
1994-03-03, 17:09, 34396.71, 1994.169,  3,  0, 355.52
1994-03-16, 17:09, 34409.71, 1994.205,  2,  0, 355.48
1994-04-04, 03:13, 34428.13, 1994.255,  3,  0, 355.54
1994-04-15, 08:24, 34439.35, 1994.286,  3,  0, 355.65
1994-05-05, 05:07, 34459.21, 1994.340,  3,  0, 355.68
1994-05-16, 15:46, 34470.66, 1994.372,  3,  0, 355.63
1994-06-01, 14:06, 34486.59, 1994.415,  3,  0, 355.72
1994-06-15, 11:48, 34500.49, 1994.453,  3,  0, 356.10
1994-07-05, 04:14, 34520.18, 1994.507,  2,  0, 356.23
1994-07-17, 10:23, 34532.43, 1994.541,  3,  0, 356.55
1994-08-02, 09:32, 34548.40, 1994.585,  3,  0, 356.75
1994-08-17, 14:09, 34563.59, 1994.626,  3,  0, 357.28
1994-09-04, 23:47, 34581.99, 1994.677,  3,  0, 357.35
1994-09-16, 06:28, 34593.27, 1994.708,  3,  0, 357.77
1994-10-02, 06:39, 34609.28, 1994.751,  3,  0, 357.47
1994-10-18, 23:55, 34626.00, 1994.797,  3,  0, 357.54
1994-11-02, 11:25, 34640.48, 1994.837,  3,  0, 357.75
1994-11-16, 04:32, 34654.19, 1994.874,  3,  0, 357.67
1994-12-03, 15:10, 34671.63, 1994.922,  3,  0, 357.53
1994-12-15, 16:18, 34683.68, 1994.955,  3,  0, 357.53
1995-01-06, 11:59, 34705.50, 1995.015,  3,  0, 357.62
1995-01-15, 21:17, 34714.89, 1995.041,  3,  0, 357.44
1995-01-26, 15:36, 34725.65, 1995.070,  3,  0, 357.29
1995-02-15, 03:50, 34745.16, 1995.124,  3,  0, 357.36
1995-03-02, 03:49, 34760.16, 1995.165,  3,  0, 357.52
1995-03-15, 01:13, 34773.05, 1995.200,  3,  0, 357.17
1995-04-01, 05:21, 34790.22, 1995.247,  3,  0, 357.53
1995-04-15, 02:29, 34804.10, 1995.285,  2,  0, 357.63
1995-05-01, 02:37, 34820.11, 1995.329,  3,  0, 357.68
1995-05-17, 16:23, 34836.68, 1995.374,  3,  0, 357.85
1995-06-02, 04:31, 34852.19, 1995.417,  3,  0, 357.80
1995-06-16, 11:46, 34866.49, 1995.456,  3,  0, 357.97
1995-07-05, 23:53, 34886.00, 1995.510,  2,  0, 358.11
1995-07-15, 11:31, 34895.48, 1995.536,  2,  0, 358.40
1995-08-01, 05:11, 34912.22, 1995.581,  3,  0, 358.51
1995-08-18, 04:43, 34929.20, 1995.628,  3,  0, 358.80
1995-09-03, 02:19, 34945.10, 1995.671,  3,  0, 358.95
1995-09-20, 02:56, 34962.12, 1995.718,  3,  0, 359.26
1995-10-01, 03:17, 34973.14, 1995.748,  2,  0, 359.16
1995-10-18, 04:02, 34990.17, 1995.795,  3,  0, 359.34
1995-11-04, 06:31, 35007.27, 1995.842,  3,  0, 359.38
1995-11-16, 16:47, 35019.70, 1995.876,  3,  0, 359.48
1995-12-01, 03:02, 35034.13, 1995.915,  3,  0, 359.48
1995-12-19, 01:31, 35052.06, 1995.965,  3,  0, 359.48
1996-01-10, 20:36, 35074.86, 1996.027,  2,  0, 359.38
1996-01-28, 21:14, 35092.88, 1996.076,  4,  0, 359.30
1996-02-05, 22:58, 35100.96, 1996.098,  9,  0, 359.31
1996-02-18, 03:42, 35113.15, 1996.132,  3,  0, 359.41
1996-03-01, 02:38, 35125.11, 1996.164,  3,  0, 359.28
1996-03-15, 01:44, 35139.07, 1996.202,  3,  0, 359.22
1996-04-01, 01:34, 35156.07, 1996.249,  3,  0, 359.40
1996-04-17, 23:15, 35172.97, 1996.295,  3,  0, 359.24
1996-05-01, 03:14, 35186.13, 1996.331,  2,  0, 359.39
1996-05-15, 22:25, 35200.93, 1996.371,  4,  0, 359.36
1996-06-01, 13:19, 35217.55, 1996.417,  2,  0, 359.51
1996-06-18, 06:24, 35234.27, 1996.462,  3,  0, 359.79
1996-07-01, 11:53, 35247.50, 1996.499,  4,  0, 360.03
1996-07-17, 21:04, 35263.88, 1996.543,  3,  0, 360.11
1996-08-02, 07:31, 35279.31, 1996.586,  3,  0, 360.32
1996-08-15, 22:01, 35292.92, 1996.623,  3,  0, 360.55
1996-09-01, 12:16, 35309.51, 1996.668,  3,  0, 360.57
1996-09-15, 08:12, 35323.34, 1996.706,  3,  0, 360.73
1996-10-01, 04:42, 35339.20, 1996.749,  3,  0, 360.62
1996-10-17, 01:53, 35355.08, 1996.793,  2,  0, 360.79
1996-11-03, 21:27, 35372.89, 1996.841,  3,  0, 360.87
1996-11-15, 11:25, 35384.48, 1996.873,  3,  0, 360.63
1996-12-02, 23:11, 35401.97, 1996.921,  3,  0, 360.74
1996-12-14, 15:03, 35413.63, 1996.953,  3,  0, 360.72
1997-01-02, 03:26, 35432.14, 1997.003,  3,  0, 360.57
1997-01-16, 10:37, 35446.44, 1997.042,  3,  4, 366.97
1997-01-30, 16:41, 35460.69, 1997.081,  6,  0, 360.48
1997-02-16, 16:07, 35477.67, 1997.128,  3,  0, 360.72
1997-02-28, 12:06, 35489.50, 1997.160,  3,  0, 360.14
1997-03-15, 16:23, 35504.68, 1997.202,  3,  0, 360.32
1997-04-01, 11:24, 35521.47, 1997.248,  3,  0, 360.40
1997-04-15, 04:19, 35535.18, 1997.285,  3,  0, 360.48
1997-05-01, 17:33, 35551.73, 1997.331,  3,  0, 360.50
1997-05-15, 17:27, 35565.73, 1997.369,  3,  0, 360.56
1997-06-01, 11:36, 35582.48, 1997.415,  3,  0, 360.77
1997-06-15, 01:59, 35596.08, 1997.452,  3,  0, 360.89
1997-07-01, 15:58, 35612.67, 1997.498,  3,  0, 361.05
1997-07-15, 16:16, 35626.68, 1997.536,  3,  0, 361.23
1997-08-01, 11:36, 35643.48, 1997.582,  3,  0, 361.34
1997-08-15, 15:00, 35657.62, 1997.621,  3,  0, 361.50
1997-09-01, 11:58, 35674.50, 1997.667,  3,  0, 361.82
1997-09-15, 09:38, 35688.40, 1997.705,  3,  0, 361.93
1997-10-01, 09:29, 35704.40, 1997.749,  2,  0, 362.05
